R05constraint0.2kappa0.9 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa0.93 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.89 (0.0, 0.0) 199999.0 1
R03constraint0.3kappa0.97 (0.001, 0.001) 10069.0 1
R06constraint0.1kappa0.85 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.86 (0.0, 0.0) 199999.0 1
R02constraint0.1kappa0.98 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R03constraint0.25kappa0.96 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.91 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.86 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa0.87 (0.0, 0.0) 199999.0 1
R02constraint0.2kappa0.99 (0.003, 0.003) 1.0 1
R04constraint0.1kappa0.9 (0.0, 0.0) 199999.0 1
R02constraint0.3kappa0.99 (0.003, 0.003) 1.0 1
R05constraint0.15kappa0.88 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.92 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.87 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.9 (0.0, 0.0) 199999.0 1
R02constraint0.25kappa0.99 (0.003, 0.003) 1.0 1
R05constraint0.2kappa0.89 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.88 (0.0, 0.0) 199999.0 1
R04constraint0.3kappa0.93 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.85 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.9 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.84 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa0.92 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.85 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa0.86 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.9 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.87 (0.0, 0.0) 199999.0 1
R03constraint0.2kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.86 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.89 (0.0, 0.0) 199999.0 1
R03constraint0.15kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.89 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.87 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.88 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.91 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.84 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa0.93 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.89 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.84 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.8300000000000001 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa0.85 (0.0, 0.0) 199999.0 1
R04constraint0.3kappa0.92 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.86 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.85 (0.0, 0.0) 199999.0 1
R03constraint0.3kappa0.96 (0.001, 0.001) 10411.0 1
R03constraint0.25kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa0.91 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.88 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.89 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.86 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.88 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.87 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.8300000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.88 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.9 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.8300000000000001 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa0.84 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.85 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa0.92 (0.0, 0.0) 199999.0 1
R02constraint0.1kappa0.97 (0.0, 0.0) 199999.0 1
R03constraint0.15kappa0.93 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.84 (0.0, 0.0) 199999.0 1
R03constraint0.2kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.87 (0.0, 0.0) 199999.0 1
R02constraint0.15kappa0.98 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.88 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.8200000000000001 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.85 (0.0, 0.0) 199999.0 1
R04constraint0.3kappa0.91 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.86 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa0.9 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.87 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.87 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.84 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.89 (0.0, 0.0) 199999.0 1
R03constraint0.25kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.86 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa0.8300000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.81 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.8300000000000001 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.84 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.85 (0.0, 0.0) 199999.0 1
R02constraint0.2kappa0.98 (0.003, 0.003) 1.0 1
R04constraint0.15kappa0.87 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa0.91 (0.0, 0.0) 199999.0 1
R03constraint0.3kappa0.9500000000000001 (0.001, 0.001) 10777.0 1
R02constraint0.3kappa0.98 (0.003, 0.003) 1.0 1
R05constraint0.25kappa0.86 (0.0, 0.0) 199999.0 1
R03constraint0.15kappa0.92 (0.0, 0.0) 199999.0 1
R02constraint0.25kappa0.98 (0.003, 0.003) 1.0 1
R05constraint0.15kappa0.8300000000000001 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.8200000000000001 (0.005, 0.005) 198606.0 1
R04constraint0.25kappa0.89 (0.0, 0.0) 199999.0 1
R04constraint0.3kappa0.9 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.86 (0.0, 0.0) 199999.0 1
R03constraint0.2kappa0.93 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.88 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.85 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.8 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.84 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.8200000000000001 (0.005, 0.005) 198606.0 1
R04constraint0.15kappa0.86 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.8200000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.85 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.8300000000000001 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa0.9 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.85 (0.0, 0.0) 199999.0 1
R02constraint0.1kappa0.96 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa0.88 (0.0, 0.0) 199999.0 1
R03constraint0.25kappa0.93 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.84 (0.0, 0.0) 199999.0 1
R04constraint0.3kappa0.89 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.87 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.8300000000000001 (0.0, 0.0) 199999.0 1
R03constraint0.15kappa0.91 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.81 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.84 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.85 (0.0, 0.0) 199999.0 1
R03constraint0.2kappa0.92 (0.0, 0.0) 199999.0 1
R03constraint0.3kappa0.9400000000000001 (0.001, 0.001) 11170.0 1
R05constraint0.3kappa0.84 (0.0, 0.0) 199999.0 1
R02constraint0.15kappa0.97 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.8200000000000001 (0.005, 0.005) 198606.0 1
R06constraint0.2kappa0.8200000000000001 (0.005, 0.005) 198606.0 1
R04constraint0.1kappa0.8300000000000001 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa0.89 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.79 (0.003, 0.003) 199542.0 1
R05constraint0.2kappa0.8200000000000001 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa0.87 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.86 (0.0, 0.0) 199999.0 1
R04constraint0.3kappa0.88 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.8300000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.8 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.84 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.8300000000000001 (0.0, 0.0) 199999.0 1
R03constraint0.15kappa0.9 (0.0, 0.0) 199999.0 1
R03constraint0.25kappa0.92 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.8200000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.81 (0.0, 0.0) 199999.0 1
R02constraint0.3kappa0.97 (0.003, 0.003) 1.0 1
R02constraint0.2kappa0.97 (0.003, 0.003) 1.0 1
R06constraint0.3kappa0.8200000000000001 (0.005, 0.005) 198606.0 1
R03constraint0.2kappa0.91 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa0.88 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.85 (0.0, 0.0) 199999.0 1
R02constraint0.25kappa0.97 (0.003, 0.003) 1.0 1
R04constraint0.25kappa0.86 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.81 (0.007, 0.007) 197104.0 1
R05constraint0.25kappa0.8200000000000001 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.8300000000000001 (0.0, 0.0) 199999.0 1
R04constraint0.3kappa0.87 (0.0, 0.0) 199999.0 1
R02constraint0.1kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R03constraint0.3kappa0.93 (0.001, 0.001) 11593.0 1
R05constraint0.3kappa0.8200000000000001 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.81 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.81 (0.007, 0.007) 197104.0 1
R05constraint0.2kappa0.8 (0.0, 0.0) 199999.0 1
R03constraint0.15kappa0.89 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.84 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.79 (0.003, 0.003) 199542.0 1
R04constraint0.25kappa0.85 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.81 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.8200000000000001 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa0.87 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.8 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.78 (0.006, 0.006) 196981.0 1
R03constraint0.25kappa0.91 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.81 (0.0, 0.0) 199999.0 1
R03constraint0.2kappa0.9 (0.0, 0.0) 199999.0 1
R04constraint0.3kappa0.86 (0.0, 0.0) 199999.0 1
R02constraint0.15kappa0.96 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.81 (0.007, 0.007) 197104.0 1
R04constraint0.15kappa0.81 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa0.81 (0.007, 0.007) 197104.0 1
R04constraint0.2kappa0.8300000000000001 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.79 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.8 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa0.84 (0.0, 0.0) 199999.0 1
R03constraint0.3kappa0.92 (0.001, 0.001) 12049.0 1
R03constraint0.15kappa0.88 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.8 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa0.86 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.79 (0.003, 0.003) 199542.0 1
R04constraint0.3kappa0.85 (0.0, 0.0) 199999.0 1
R02constraint0.1kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.8 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.78 (0.0, 0.0) 199999.0 1
R03constraint0.25kappa0.9 (0.0, 0.0) 199999.0 1
R03constraint0.2kappa0.89 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.8200000000000001 (0.0, 0.0) 199999.0 1
R02constraint0.3kappa0.96 (0.003, 0.003) 1.0 1
