,Threshold Type,Max Lockdowns,Kappa,Threshold Up,Threshold Down,Cost,Num Lockdowns
242,asymmetric,max1,0.93, 0.1, 0.01, 2791.0, 1
241,asymmetric,max1,0.94, 0.1, 0.008, 2972.0, 1
238,asymmetric,max1,0.95, 0.1, 0.006, 3217.0, 1
237,asymmetric,max1,0.96, 0.1, 0.005, 3331.0, 1
233,asymmetric,max1,0.97, 0.1, 0.003, 3793.0, 1
234,asymmetric,max1,0.98, 0.1, 0.001, 4849.0, 1
231,asymmetric,max1,0.99, 0.1, 0.0, 998029.0, 1
117,asymmetric,nomax,0.0, 0.0, 0.0, inf, 1
118,asymmetric,nomax,0.01, 0.0, 0.0, inf, 1
127,asymmetric,nomax,0.02, 0.0, 0.0, inf, 1
122,asymmetric,nomax,0.03, 0.0, 0.0, inf, 1
121,asymmetric,nomax,0.04, 0.0, 0.0, inf, 1
125,asymmetric,nomax,0.05, 0.0, 0.0, inf, 1
119,asymmetric,nomax,0.06, 0.0, 0.0, inf, 1
124,asymmetric,nomax,0.07, 0.0, 0.0, inf, 1
123,asymmetric,nomax,0.08, 0.0, 0.0, inf, 1
120,asymmetric,nomax,0.09, 0.0, 0.0, inf, 1
128,asymmetric,nomax,0.1, 0.0, 0.0, inf, 1
129,asymmetric,nomax,0.11, 0.0, 0.0, inf, 1
130,asymmetric,nomax,0.12, 0.0, 0.0, inf, 1
131,asymmetric,nomax,0.13, 0.0, 0.0, inf, 1
132,asymmetric,nomax,0.14, 0.0, 0.0, inf, 1
134,asymmetric,nomax,0.15, 0.0, 0.0, inf, 1
135,asymmetric,nomax,0.16, 0.0, 0.0, inf, 1
136,asymmetric,nomax,0.17, 0.0, 0.0, inf, 1
137,asymmetric,nomax,0.18, 0.0, 0.0, inf, 1
138,asymmetric,nomax,0.19, 0.0, 0.0, inf, 1
139,asymmetric,nomax,0.2, 0.0, 0.0, inf, 1
140,asymmetric,nomax,0.21, 0.0, 0.0, inf, 1
142,asymmetric,nomax,0.22, 0.0, 0.0, inf, 1
143,asymmetric,nomax,0.23, 0.0, 0.0, inf, 1
144,asymmetric,nomax,0.24, 0.0, 0.0, inf, 1
357,asymmetric,nomax,0.25, 0.023, 0.1, 6495.0, 1309
376,asymmetric,nomax,0.26, 0.048, 0.1, 5272.0, 707
488,asymmetric,nomax,0.77, 0.1, 0.1, 2614.0, 1622
489,asymmetric,nomax,0.78, 0.1, 0.1, 2581.0, 1640
486,asymmetric,nomax,0.79, 0.1, 0.1, 2548.0, 1657
487,asymmetric,nomax,0.8, 0.1, 0.1, 2516.0, 1672
484,asymmetric,nomax,0.81, 0.1, 0.1, 2485.0, 1687
485,asymmetric,nomax,0.82, 0.1, 0.1, 2455.0, 1701
482,asymmetric,nomax,0.83, 0.1, 0.1, 2425.0, 1714
483,asymmetric,nomax,0.84, 0.1, 0.1, 2396.0, 1725
474,asymmetric,nomax,0.85, 0.1, 0.1, 2368.0, 1737
481,asymmetric,nomax,0.86, 0.1, 0.1, 2341.0, 1748
477,asymmetric,nomax,0.87, 0.1, 0.1, 2314.0, 1757
478,asymmetric,nomax,0.88, 0.1, 0.1, 2287.0, 1765
459,asymmetric,nomax,0.89, 0.1, 0.1, 2262.0, 1774
467,asymmetric,nomax,0.9, 0.1, 0.1, 2237.0, 1781
458,asymmetric,nomax,0.91, 0.1, 0.1, 2212.0, 1787
461,asymmetric,nomax,0.92, 0.1, 0.1, 2188.0, 1792
470,asymmetric,nomax,0.93, 0.1, 0.1, 2164.0, 1797
464,asymmetric,nomax,0.94, 0.1, 0.1, 2141.0, 1801
446,asymmetric,nomax,0.95, 0.1, 0.1, 2119.0, 1805
452,asymmetric,nomax,0.96, 0.1, 0.1, 2097.0, 1808
432,asymmetric,nomax,0.97, 0.1, 0.1, 2075.0, 1809
457,asymmetric,nomax,0.98, 0.1, 0.1, 2054.0, 1811
439,asymmetric,nomax,0.99, 0.1, 0.1, 2033.0, 1811
0,symmetric,max1,0.0, 0.0, 0.0, inf, 1
1,symmetric,max1,0.01, 0.0, 0.0, inf, 1
2,symmetric,max1,0.02, 0.0, 0.0, inf, 1
16,symmetric,max1,0.03, 0.0, 0.0, inf, 1
7,symmetric,max1,0.04, 0.0, 0.0, inf, 1
3,symmetric,max1,0.05, 0.0, 0.0, inf, 1
12,symmetric,max1,0.06, 0.0, 0.0, inf, 1
18,symmetric,max1,0.07, 0.0, 0.0, inf, 1
6,symmetric,max1,0.08, 0.0, 0.0, inf, 1
4,symmetric,max1,0.09, 0.0, 0.0, inf, 1
