,Kappa2,Threshold2,Cost
198,0.38,"(0.0, 0.0)",inf
200,0.39,"(0.0, 0.0)",inf
234,0.39,"(0.0, 0.0)",inf
139,0.39,"(0.0, 0.0)",inf
372,0.39,"(0.0, 0.0)",inf
71,0.4,"(0.0, 0.0)",inf
302,0.4,"(0.0, 0.0)",inf
275,0.4,"(0.0, 0.0)",inf
345,0.4,"(0.0, 0.0)",inf
187,0.41,"(0.0, 0.0)",inf
41,0.41,"(0.0, 0.0)",inf
171,0.41,"(0.0, 0.0)",inf
3,0.41,"(0.0, 0.0)",inf
183,0.42,"(0.0, 0.0)",inf
30,0.42,"(0.0, 0.0)",inf
47,0.42,"(0.0, 0.0)",inf
147,0.42,"(0.0, 0.0)",inf
119,0.43,"(0.0, 0.0)",inf
269,0.43,"(0.0, 0.0)",inf
292,0.43,"(0.0, 0.0)",inf
307,0.43,"(0.0, 0.0)",inf
280,0.44,"(0.008, 0.081)",7601.0
349,0.44,"(0.008, 0.099)",10575.0
28,0.44,"(0.0, 0.008)",13553.0
327,0.44,"(0.0, 0.008)",13553.0
253,0.45,"(0.021, 0.099)",8227.0
311,0.45,"(0.0, 0.021)",9964.0
158,0.45,"(0.0, 0.021)",9994.0
4,0.45,"(0.021, 0.079)",6257.0
153,0.46,"(0.032, 0.078)",5625.0
259,0.46,"(0.0, 0.032)",8292.0
9,0.46,"(0.0, 0.032)",8431.0
343,0.46,"(0.032, 0.099)",7159.0
331,0.47,"(0.043000000000000003, 0.076)",5224.0
238,0.47,"(0.043000000000000003, 0.099)",6372.0
277,0.47,"(0.0, 0.043000000000000003)",7298.0
176,0.47,"(0.0, 0.043000000000000003)",7024.0
390,0.48,"(0.0, 0.052000000000000005)",6138.0
294,0.48,"(0.052000000000000005, 0.099)",5841.0
376,0.48,"(0.0, 0.052000000000000005)",6559.0
229,0.48,"(0.052000000000000005, 0.075)",4915.0
388,0.49,"(0.06, 0.099)",5416.0
63,0.49,"(0.0, 0.06)",5407.0
97,0.49,"(0.0, 0.06)",5982.0
67,0.49,"(0.06, 0.073)",4721.0
210,0.5,"(0.0, 0.067)",5520.0
167,0.5,"(0.0, 0.067)",4781.0
359,0.5,"(0.067, 0.07100000000000001)",4569.0
166,0.5,"(0.067, 0.099)",5065.0
90,0.51,"(0.0, 0.073)",5148.0
281,0.51,"(0.0, 0.067)",4655.0
75,0.51,"(0.073, 0.099)",4773.0
130,0.51,"(0.073, 0.069)",4450.0
96,0.52,"(0.079, 0.067)",4340.0
124,0.52,"(0.079, 0.099)",4485.0
321,0.52,"(0.0, 0.062)",4900.0
125,0.52,"(0.0, 0.079)",4782.0
365,0.53,"(0.0, 0.083)",4547.0
19,0.53,"(0.0, 0.055)",5362.0
22,0.53,"(0.083, 0.099)",4283.0
205,0.53,"(0.083, 0.064)",4319.0
377,0.54,"(0.08700000000000001, 0.062)",4246.0
227,0.54,"(0.0, 0.08700000000000001)",4302.0
249,0.54,"(0.08700000000000001, 0.099)",4088.0
254,0.54,"(0.0, 0.048)",5927.0
114,0.55,"(0.091, 0.06)",4179.0
50,0.55,"(0.0, 0.091)",4056.0
353,0.55,"(0.091, 0.099)",3904.0
178,0.55,"(0.0, 0.041)",6638.0
109,0.56,"(0.0, 0.094)",3860.0
243,0.56,"(0.094, 0.099)",3759.0
56,0.56,"(0.094, 0.057)",4181.0
39,0.56,"(0.0, 0.032)",7973.0
222,0.57,"(0.096, 0.054)",4198.0
382,0.57,"(0.0, 0.098)",3564.0
301,0.57,"(0.0, 0.023)",10044.0
338,0.57,"(0.098, 0.099)",3541.0
233,0.59,"(0.0, 0.003)",28687.0
290,0.59,"(0.099, 0.099)",3460.0
13,0.59,"(0.0, 0.099)",3460.0
145,0.59,"(0.099, 0.047)",4319.0
380,0.6,"(0.0, 0.099)",3405.0
268,0.6,"(0.099, 0.099)",3405.0
224,0.6,"(0.099, 0.043000000000000003)",4439.0
17,0.6,"(0.0, 0.0)",999999.0
330,0.61,"(0.0, 0.0)",999999.0
361,0.61,"(0.099, 0.099)",3349.0
53,0.61,"(0.099, 0.04)",4497.0
111,0.61,"(0.0, 0.099)",3349.0
285,0.62,"(0.0, 0.0)",999999.0
104,0.62,"(0.099, 0.036000000000000004)",4646.0
59,0.62,"(0.0, 0.099)",3295.0
221,0.62,"(0.099, 0.099)",3295.0
165,0.63,"(0.0, 0.0)",999999.0
385,0.63,"(0.099, 0.032)",4819.0
332,0.63,"(0.099, 0.099)",3243.0
218,0.63,"(0.0, 0.099)",3243.0
356,0.64,"(0.0, 0.099)",3192.0
161,0.64,"(0.099, 0.099)",3192.0
298,0.64,"(0.0, 0.0)",999999.0
214,0.64,"(0.099, 0.028)",5023.0
54,0.65,"(0.099, 0.099)",3143.0
86,0.65,"(0.099, 0.024)",5268.0
134,0.65,"(0.0, 0.099)",3143.0
44,0.65,"(0.0, 0.0)",999999.0
92,0.66,"(0.0, 0.099)",3096.0
193,0.66,"(0.0, 0.0)",999999.0
128,0.66,"(0.099, 0.02)",5573.0
132,0.66,"(0.099, 0.099)",3096.0
208,0.67,"(0.0, 0.099)",3050.0
362,0.67,"(0.099, 0.016)",5963.0
246,0.67,"(0.0, 0.0)",999999.0
42,0.67,"(0.099, 0.099)",3050.0
316,0.68,"(0.0, 0.099)",3005.0
262,0.68,"(0.099, 0.012)",6493.0
81,0.68,"(0.099, 0.099)",3005.0
76,0.68,"(0.0, 0.0)",999999.0
189,0.69,"(0.099, 0.099)",2961.0
191,0.69,"(0.0, 0.099)",2961.0
375,0.69,"(0.0, 0.0)",999999.0
36,0.69,"(0.099, 0.008)",7284.0
326,0.7,"(0.099, 0.004)",8724.0
369,0.7,"(0.099, 0.099)",2919.0
282,0.7,"(0.0, 0.099)",2919.0
289,0.7,"(0.0, 0.0)",999999.0
154,0.71,"(0.0, 0.0)",999999.0
159,0.71,"(0.099, 0.0)",998036.0
258,0.71,"(0.099, 0.099)",2878.0
2,0.71,"(0.0, 0.099)",2878.0
155,0.72,"(0.0, 0.099)",2838.0
16,0.72,"(0.0, 0.0)",999999.0
7,0.72,"(0.099, 0.0)",998036.0
324,0.72,"(0.099, 0.099)",2838.0
278,0.73,"(0.099, 0.0)",998036.0
329,0.73,"(0.0, 0.099)",2799.0
232,0.73,"(0.099, 0.099)",2799.0
335,0.73,"(0.0, 0.0)",999999.0
304,0.74,"(0.099, 0.0)",998036.0
65,0.74,"(0.099, 0.099)",2761.0
273,0.74,"(0.0, 0.099)",2761.0
173,0.74,"(0.0, 0.0)",999999.0
186,0.75,"(0.099, 0.0)",998036.0
152,0.75,"(0.099, 0.099)",2724.0
43,0.75,"(0.0, 0.099)",2724.0
271,0.75,"(0.0, 0.0)",999999.0
181,0.76,"(0.0, 0.099)",2688.0
314,0.76,"(0.0, 0.0)",999999.0
48,0.76,"(0.099, 0.0)",998036.0
34,0.76,"(0.099, 0.099)",2688.0
25,0.77,"(0.0, 0.0)",999999.0
309,0.77,"(0.0, 0.099)",2654.0
141,0.77,"(0.099, 0.099)",2654.0
267,0.77,"(0.099, 0.0)",998036.0
244,0.78,"(0.0, 0.0)",999999.0
180,0.78,"(0.099, 0.099)",2620.0
201,0.78,"(0.0, 0.099)",2620.0
371,0.78,"(0.099, 0.0)",998036.0
137,0.79,"(0.099, 0.0)",998036.0
98,0.79,"(0.0, 0.0)",999999.0
93,0.79,"(0.099, 0.099)",2586.0
83,0.79,"(0.0, 0.099)",2586.0
230,0.8,"(0.0, 0.099)",2554.0
118,0.8,"(0.099, 0.099)",2554.0
389,0.8,"(0.0, 0.0)",999999.0
374,0.8,"(0.099, 0.0)",998036.0
66,0.81,"(0.0, 0.099)",2523.0
99,0.81,"(0.099, 0.0)",998036.0
29,0.81,"(0.099, 0.099)",2523.0
68,0.81,"(0.0, 0.0)",999999.0
103,0.82,"(0.0, 0.0)",999999.0
62,0.82,"(0.099, 0.0)",998036.0
169,0.82,"(0.099, 0.099)",2492.0
101,0.82,"(0.0, 0.099)",2492.0
373,0.83,"(0.0, 0.099)",2462.0
239,0.83,"(0.0, 0.0)",999999.0
69,0.83,"(0.099, 0.099)",2462.0
235,0.83,"(0.099, 0.0)",998036.0
79,0.84,"(0.0, 0.0)",999999.0
202,0.84,"(0.0, 0.099)",2433.0
370,0.84,"(0.099, 0.0)",998036.0
236,0.84,"(0.099, 0.099)",2433.0
341,0.85,"(0.099, 0.099)",2404.0
138,0.85,"(0.099, 0.0)",998036.0
366,0.85,"(0.0, 0.0)",999999.0
82,0.85,"(0.0, 0.099)",2404.0
80,0.86,"(0.099, 0.0)",998036.0
143,0.86,"(0.0, 0.099)",2376.0
252,0.86,"(0.099, 0.099)",2376.0
211,0.86,"(0.0, 0.0)",999999.0
116,0.87,"(0.0, 0.0)",999999.0
367,0.87,"(0.0, 0.099)",2349.0
203,0.87,"(0.099, 0.0)",998036.0
348,0.87,"(0.099, 0.099)",2349.0
340,0.88,"(0.0, 0.0)",999999.0
306,0.88,"(0.099, 0.0)",998036.0
272,0.88,"(0.0, 0.099)",2322.0
300,0.88,"(0.099, 0.099)",2322.0
46,0.89,"(0.0, 0.099)",2296.0
10,0.89,"(0.0, 0.0)",999999.0
196,0.89,"(0.099, 0.099)",2296.0
185,0.89,"(0.099, 0.0)",998036.0
322,0.9,"(0.0, 0.099)",2270.0
115,0.9,"(0.0, 0.0)",999999.0
21,0.9,"(0.099, 0.099)",2270.0
286,0.9,"(0.099, 0.0)",998036.0
123,0.91,"(0.099, 0.099)",2245.0
15,0.91,"(0.099, 0.0)",998036.0
228,0.91,"(0.0, 0.0)",999999.0
144,0.91,"(0.0, 0.099)",2245.0
386,0.92,"(0.0, 0.0)",999999.0
12,0.92,"(0.0, 0.099)",2221.0
73,0.92,"(0.099, 0.099)",2221.0
149,0.92,"(0.099, 0.0)",998036.0
163,0.93,"(0.099, 0.099)",2197.0
320,0.93,"(0.099, 0.0)",998036.0
72,0.93,"(0.0, 0.0)",999999.0
287,0.93,"(0.0, 0.099)",2197.0
195,0.94,"(0.0, 0.0)",999999.0
317,0.94,"(0.0, 0.099)",2174.0
336,0.94,"(0.099, 0.099)",2174.0
260,0.94,"(0.099, 0.0)",998036.0
190,0.95,"(0.0, 0.099)",2151.0
241,0.95,"(0.099, 0.099)",2151.0
38,0.95,"(0.099, 0.0)",998036.0
142,0.95,"(0.0, 0.0)",999999.0
194,0.96,"(0.099, 0.0)",998036.0
352,0.96,"(0.099, 0.099)",2129.0
33,0.96,"(0.0, 0.099)",2129.0
89,0.96,"(0.0, 0.0)",999999.0
265,0.97,"(0.0, 0.099)",2107.0
346,0.97,"(0.0, 0.0)",999999.0
313,0.97,"(0.099, 0.0)",998036.0
248,0.97,"(0.099, 0.099)",2107.0
216,0.98,"(0.099, 0.0)",998036.0
199,0.98,"(0.099, 0.099)",2085.0
172,0.98,"(0.0, 0.0)",999999.0
355,0.98,"(0.0, 0.099)",2085.0
276,0.99,"(0.0, 0.0)",999999.0
136,0.99,"(0.0, 0.099)",2064.0
296,0.99,"(0.099, 0.099)",2064.0
85,0.99,"(0.099, 0.0)",998036.0
